run, run, UInt_t, single
luminosityBlock, luminosityBlock, UInt_t, single
event, event, ULong64_t, single 
Generator_weight, Generator, Float_t, single
genWeight, genWeight, Float_t, single
GenPart_pt, Generator, Float_t, vector
HLT_IsoMu24, trigger, Bool_t, single
HLT_Ele30_WPTight_Gsf, trigger, Bool_t, single
HLT_DoubleEle33_CaloIdL_MW, trigger, Bool_t, single
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL, trigger, Bool_t, single
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ, trigger, Bool_t, single
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8, trigger, Bool_t, single
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ, trigger, Bool_t, single
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL, trigger, Bool_t, single
HLT_Ele32_WPTight_Gsf, trigger, Bool_t, single
HLT_DoubleEle25_CaloIdL_MW, trigger, Bool_t, single
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ, trigger, Bool_t, single
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL, trigger, Bool_t, single
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ, trigger, Bool_t, single
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL, trigger, Bool_t, single
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ, trigger, Bool_t, single
HLT_PFMET120_PFMHT120_IDTight, trigger, Bool_t, single
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight, trigger, Bool_t, single
HLT_PFMET120_PFMHT120_IDTight_PFHT60, trigger, Bool_t, single
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60, trigger, Bool_t, single
HLT_PFMET200_BeamHaloCleaned, trigger, Bool_t, single
HLT_PFMETTypeOne200_BeamHaloCleaned, trigger, Bool_t, single
HLT_PFHT500_PFMET100_PFMHT100_IDTight, trigger, Bool_t, single
HLT_PFHT700_PFMET85_PFMHT85_IDTight, trigger, Bool_t, single
HLT_PFHT800_PFMET75_PFMHT75_IDTight, trigger, Bool_t, single
HLT_PFHT500_PFMET110_PFMHT110_IDTight, trigger, Bool_t, single
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF, trigger, Bool_t, single
nMuon, muon, Int_t, single
Muon_pfRelIso03_all, muon, Float_t, vector
Muon_pfRelIso03_chg, muon, Float_t, vector
Muon_pfRelIso04_all, muon, Float_t, vector
Muon_dxy, muon, Float_t, vector
Muon_dxyErr, muon, Float_t, vector
Muon_dxybs, muon, Float_t, vector
Muon_dz, muon, Float_t, vector
Muon_dzErr, muon, Float_t, vector
Muon_eta, muon, Float_t, vector
Muon_ip3d, muon, Float_t, vector
Muon_jetPtRelv2, muon, Float_t, vector
Muon_jetRelIso, muon, Float_t, vector
Muon_mass, muon, Float_t, vector
Muon_miniPFRelIso_all, muon, Float_t, vector
Muon_miniPFRelIso_chg, muon, Float_t, vector
Muon_phi, muon, Float_t, vector
Muon_pt, muon, Float_t, vector
Muon_ptErr, muon, Float_t, vector
Muon_segmentComp, muon, Float_t, vector
Muon_sip3d, muon, Float_t, vector
Muon_softMva, muon, Float_t, vector
Muon_tkRelIso, muon, Float_t, vector
Muon_tunepRelPt, muon, Float_t, vector
Muon_mvaLowPt, muon, Float_t, vector
Muon_tightId, muon, Bool_t, vector
Muon_looseId, muon, Bool_t, vector
Muon_mediumId, muon, Bool_t, vector
Muon_mediumPromptId, muon, Bool_t, vector
Muon_highPurity, muon, Bool_t, vector
Muon_inTimeMuon, muon, Bool_t, vector
Muon_isGlobal, muon, Bool_t, vector
Muon_isPFcand, muon, Bool_t, vector
Muon_isStandalone, muon, Bool_t, vector
Muon_isTracker, muon, Bool_t, vector
Muon_softId, muon, Bool_t, vector
Muon_softMvaId, muon, Bool_t, vector
Muon_charge, muon, Int_t, vector
Muon_nStations, muon, UChar_t, vector
Muon_nTrackerLayers, muon, UChar_t, vector
Muon_pdgId, muon, Int_t, vector
Muon_tightCharge, muon, UChar_t, vector
Muon_highPtId, muon, UChar_t, vector
Muon_jetNDauCharged, muon, UChar_t, vector
Muon_miniIsoId, muon, UChar_t, vector
Muon_multiIsoId, muon, UChar_t, vector
Muon_pfIsoId, muon, UChar_t, vector
Muon_puppiIsoId, muon, UChar_t, vector
Muon_genPartIdx, muon, Short_t, vector
nJet, jet, Int_t, single
Jet_pt, jet, Float_t, vector
Jet_phi, jet, Float_t, vector
Jet_eta, jet, Float_t, vector
Jet_mass, jet, Float_t, vector
Jet_area, jet, Float_t, vector
Jet_rawFactor, jet, Float_t, vector
Jet_chHEF, jet, Float_t, vector
Jet_neHEF, jet, Float_t, vector
Jet_chEmEF, jet, Float_t, vector
Jet_neEmEF, jet, Float_t, vector
Jet_muEF, jet, Float_t, vector
Jet_chMultiplicity, jet, UChar_t, vector
Jet_neMultiplicity, jet, UChar_t, vector
Jet_nConstituents, jet, UChar_t, vector
Jet_btagDeepFlavB, jet, Float_t, vector
Jet_btagDeepFlavCvB, jet, Float_t, vector
Jet_btagDeepFlavCvL, jet, Float_t, vector
Jet_btagDeepFlavQG, jet, Float_t, vector
Jet_hadronFlavour, jet, UChar_t, vector
Jet_btagUParTAK4B, jet, Float_t, vector
nGenJet, genjet, Int_t, single
GenJet_pt, genjet, Float_t, vector
GenJet_phi, genjet, Float_t, vector
GenJet_eta, genjet, Float_t, vector
GenJet_mass, genjet, Float_t, vector
Electron_pt, electron, Float_t, vector
Electron_phi, electron, Float_t, vector
Electron_eta, electron, Float_t, vector
Electron_mass, electron, Float_t, vector
Electron_deltaEtaSC, electron, Float_t, vector
Electron_tightCharge, electron, UChar_t, vector
Electron_charge, electron, Int_t, vector
Electron_cutBased, electron, UChar_t, vector
Electron_convVeto, electron, Bool_t, vector
