run, run, UInt_t, single
luminosityBlock, run, UInt_t, single
event, run, ULong64_t, single
nMuon, muon, Int_t, single
Muon_pt, muon, Float_t, vector
Muon_eta, muon, Float_t, vector
Muon_phi, muon, Float_t, vector
Muon_mass, muon, Float_t, vector
Muon_charge, muon, Int_t, vector
nElectron, electron, Int_t, single
Electron_pt, electron, Float_t, vector
Electron_eta, electron, Float_t, vector
Electron_phi, electron, Float_t, vector
Electron_mass, electron, Float_t, vector
Electron_charge, electron, Int_t, vector
nJet, jet, Int_t, single
Jet_pt, jet, Float_t, vector
Jet_eta, jet, Float_t, vector
Jet_phi, jet, Float_t, vector
Jet_mass, jet, Float_t, vector
PuppiMET_pt, met, Float_t, single
PuppiMET_phi, met, Float_t, single
