=== Data_DoubleMuon_Run2017D Sample Processing Summary ===
Timestamp: 2025-05-20 13:15:41
Total root files: 2706
Files per list: 10
List files created: 271

=== Root files distribution ===
List file 1: 10 root files
List file 2: 10 root files
List file 3: 10 root files
List file 4: 10 root files
List file 5: 10 root files
List file 6: 10 root files
List file 7: 10 root files
List file 8: 10 root files
List file 9: 10 root files
List file 10: 10 root files
List file 11: 10 root files
List file 12: 10 root files
List file 13: 10 root files
List file 14: 10 root files
List file 15: 10 root files
List file 16: 10 root files
List file 17: 10 root files
List file 18: 10 root files
List file 19: 10 root files
List file 20: 10 root files
List file 21: 10 root files
List file 22: 10 root files
List file 23: 10 root files
List file 24: 10 root files
List file 25: 10 root files
List file 26: 10 root files
List file 27: 10 root files
List file 28: 10 root files
List file 29: 10 root files
List file 30: 10 root files
List file 31: 10 root files
List file 32: 10 root files
List file 33: 10 root files
List file 34: 10 root files
List file 35: 10 root files
List file 36: 10 root files
List file 37: 10 root files
List file 38: 10 root files
List file 39: 10 root files
List file 40: 10 root files
List file 41: 10 root files
List file 42: 10 root files
List file 43: 10 root files
List file 44: 10 root files
List file 45: 10 root files
List file 46: 10 root files
List file 47: 10 root files
List file 48: 10 root files
List file 49: 10 root files
List file 50: 10 root files
List file 51: 10 root files
List file 52: 10 root files
List file 53: 10 root files
List file 54: 10 root files
List file 55: 10 root files
List file 56: 10 root files
List file 57: 10 root files
List file 58: 10 root files
List file 59: 10 root files
List file 60: 10 root files
List file 61: 10 root files
List file 62: 10 root files
List file 63: 10 root files
List file 64: 10 root files
List file 65: 10 root files
List file 66: 10 root files
List file 67: 10 root files
List file 68: 10 root files
List file 69: 10 root files
List file 70: 10 root files
List file 71: 10 root files
List file 72: 10 root files
List file 73: 10 root files
List file 74: 10 root files
List file 75: 10 root files
List file 76: 10 root files
List file 77: 10 root files
List file 78: 10 root files
List file 79: 10 root files
List file 80: 10 root files
List file 81: 10 root files
List file 82: 10 root files
List file 83: 10 root files
List file 84: 10 root files
List file 85: 10 root files
List file 86: 10 root files
List file 87: 10 root files
List file 88: 10 root files
List file 89: 10 root files
List file 90: 10 root files
List file 91: 10 root files
List file 92: 10 root files
List file 93: 10 root files
List file 94: 10 root files
List file 95: 10 root files
List file 96: 10 root files
List file 97: 10 root files
List file 98: 10 root files
List file 99: 10 root files
List file 100: 10 root files
List file 101: 10 root files
List file 102: 10 root files
List file 103: 10 root files
List file 104: 10 root files
List file 105: 10 root files
List file 106: 10 root files
List file 107: 10 root files
List file 108: 10 root files
